Features,value,Decision
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
X_IONRAD,-0.07909810565961618,Accepted
X_IONRAD,-0.035183518420869905,Accepted
X_IONRAD,-0.10838091139152152,Accepted
X_IONRAD,-0.09687085111621933,Accepted
X_IONRAD,-0.12184201428917373,Accepted
X_IONRAD,-0.10045455656086529,Accepted
X_IONRAD,-0.03707907729804994,Accepted
X_IONRAD,-0.04939455214500242,Accepted
X_IONRAD,-0.1681879288025907,Accepted
X_IONRAD,-0.1773964686421228,Accepted
X_IONRAD,-0.10268092720111034,Accepted
X_IONRAD,-0.08941998192175686,Accepted
X_IONRAD,-0.14893858146805147,Accepted
X_IONRAD,-0.14226294242456028,Accepted
X_IONRAD,-0.18781536018306516,Accepted
X_IONRAD,-0.12622624525361154,Accepted
X_IONRAD,-0.14674314643618042,Accepted
X_IONRAD,-0.14192151876648607,Accepted
X_IONRAD,-0.13663965574475748,Accepted
X_IONRAD,-0.18958448678566975,Accepted
X_IONRAD,-0.1645439134298954,Accepted
X_IONRAD,-0.20742855975346164,Accepted
X_IONRAD,-0.1840644927420698,Accepted
X_IONRAD,-0.18823317896001898,Accepted
X_IONRAD,-0.1144046132655047,Accepted
X_IONRAD,-0.07385522223110216,Accepted
X_IONRAD,-0.11295940040857573,Accepted
X_IONRAD,-0.16727590440837042,Accepted
X_IONRAD,-0.20670337333030814,Accepted
X_IONRAD,-0.15133682290831488,Accepted
X_IONRAD,-0.17590952614709812,Accepted
X_IONRAD,-0.16971910842797844,Accepted
X_IONRAD,-0.19463778505148494,Accepted
X_IONRAD,-0.17736436482457676,Accepted
X_IONRAD,-0.19477205254076116,Accepted
X_IONRAD,-0.14512138029355046,Accepted
X_IONRAD,-0.1409230437594695,Accepted
X_IONRAD,-0.1876501144796339,Accepted
X_IONRAD,-0.1707452872446916,Accepted
X_IONRAD,-0.21117791673199504,Accepted
X_IONRAD,-0.15525192279985064,Accepted
X_IONRAD,-0.15255158524819892,Accepted
X_IONRAD,-0.1274459745324306,Accepted
X_IONRAD,-0.170538269860223,Accepted
X_IONRAD,-0.14027745918344806,Accepted
X_IONRAD,-0.15542072215617453,Accepted
X_IONRAD,-0.16425458994669043,Accepted
X_IONRAD,-0.15646453870005247,Accepted
X_IONRAD,-0.18405827243289805,Accepted
X_IONRAD,-0.13349567261849515,Accepted
X_IONRAD,-0.1597046575286311,Accepted
X_IONRAD,-0.16031621483449385,Accepted
X_IONRAD,-0.1967993528532206,Accepted
X_IONRAD,-0.13383476398739383,Accepted
X_IONRAD,-0.16010882237772758,Accepted
X_IONRAD,-0.17716038864937192,Accepted
X_IONRAD,-0.13625062556711362,Accepted
X_IONRAD,-0.20279641689482847,Accepted
X_IONRAD,-0.132348017956865,Accepted
X_IONRAD,-0.12226142635449894,Accepted
X_IONRAD,-0.1270388831402985,Accepted
X_IONRAD,-0.20108286074691203,Accepted
X_IONRAD,-0.19512974291642746,Accepted
X_IONRAD,-0.13738048350149046,Accepted
X_IONRAD,-0.16561381153466806,Accepted
X_IONRAD,-0.15376731533070048,Accepted
X_IONRAD,-0.1426139891348844,Accepted
X_IONRAD,-0.1754677900979625,Accepted
X_IONRAD,-0.1845967071893784,Accepted
X_IONRAD,-0.18284419373193928,Accepted
X_IONRAD,-0.13996246784880728,Accepted
X_IONRAD,-0.1691798227873266,Accepted
X_IONRAD,-0.17873874200268636,Accepted
X_IONRAD,-0.1703790579690709,Accepted
X_IONRAD,-0.13250955816331117,Accepted
