Methods,value,Decision
B_MASS,-0.39526307148082884,Accepted
B_MASS,-0.3689757146677078,Accepted
B_MASS,-0.37091369666529467,Accepted
B_MASS,-0.3643915906133445,Accepted
B_MASS,-0.3439776255295115,Accepted
B_MASS,-0.3654008089571154,Accepted
B_MASS,-0.3950626938213579,Accepted
B_MASS,-0.36533780669211285,Accepted
B_MASS,-0.36279807379098106,Accepted
B_MASS,-0.37992647334878477,Accepted
B_MASS,-0.3680123850152062,Accepted
B_MASS,-0.3706242465868994,Accepted
B_MASS,-0.3618974219572404,Accepted
B_MASS,-0.3891143730860137,Accepted
B_MASS,-0.387511390145731,Accepted
B_MASS,-0.3406379594701804,Accepted
B_MASS,-0.34398668456532255,Accepted
B_MASS,-0.3799709269022828,Accepted
B_MASS,-0.3763047491924783,Accepted
B_MASS,-0.37617473331251505,Accepted
B_MASS,-0.35918566969169674,Accepted
B_MASS,-0.35364668341497474,Accepted
B_MASS,-0.38915159358569196,Accepted
B_MASS,-0.37232901337701174,Accepted
B_MASS,-0.3542295745230951,Accepted
B_MASS,-0.39142247286132975,Accepted
B_MASS,-0.36883170709990976,Accepted
B_MASS,-0.3965515664772253,Accepted
B_MASS,-0.37175533168385994,Accepted
B_MASS,-0.3700308612123375,Accepted
B_MASS,-0.3718973409292414,Accepted
B_MASS,-0.35820664680664355,Accepted
B_MASS,-0.3889507969842407,Accepted
B_MASS,-0.36902145733192965,Accepted
B_MASS,-0.3677876312348795,Accepted
B_MASS,-0.3661758918514458,Accepted
B_MASS,-0.397240540305509,Accepted
B_MASS,-0.3649618358467341,Accepted
B_MASS,-0.37806108361197893,Accepted
B_MASS,-0.39393074347537027,Accepted
B_MASS,-0.35402160570518443,Accepted
B_MASS,-0.3664226967365704,Accepted
B_MASS,-0.37762942914678344,Accepted
B_MASS,-0.38552359888451065,Accepted
B_MASS,-0.37180320995730926,Accepted
B_MASS,-0.39048490636700134,Accepted
B_MASS,-0.38519703721820586,Accepted
B_MASS,-0.39198314392451855,Accepted
B_MASS,-0.3686309215557959,Accepted
B_MASS,-0.3739169398029243,Accepted
B_MASS,-0.3619563066754896,Accepted
B_MASS,-0.3731614745090767,Accepted
B_MASS,-0.3964056782355299,Accepted
B_MASS,-0.3664237537024202,Accepted
B_MASS,-0.3488182777046592,Accepted
B_MASS,-0.38864787761297254,Accepted
B_MASS,-0.3788088900481487,Accepted
B_MASS,-0.3718022508641403,Accepted
B_MASS,-0.362990254014239,Accepted
B_MASS,-0.3907377022321018,Accepted
B_MASS,-0.36908837347288187,Accepted
B_MASS,-0.37345188077984437,Accepted
B_MASS,-0.35554801461061863,Accepted
B_MASS,-0.3890671595910573,Accepted
B_MASS,-0.37332131987958883,Accepted
B_MASS,-0.3846736907073485,Accepted
B_MASS,-0.3835365398874837,Accepted
B_MASS,-0.3935212894032296,Accepted
B_MASS,-0.3601717313405634,Accepted
B_MASS,-0.3458532295049695,Accepted
B_MASS,-0.3706923926635813,Accepted
B_MASS,-0.3804194682139968,Accepted
B_MASS,-0.39924223217335075,Accepted
B_MASS,-0.36265022919527085,Accepted
B_MASS,-0.3966251790552921,Accepted
B_MASS,-0.39319173140318425,Accepted
B_MASS,-0.3793596177398952,Accepted
B_MASS,-0.3820700773811754,Accepted
B_MASS,-0.3670883575215567,Accepted
B_MASS,-0.37040106055372657,Accepted
B_MASS,-0.36489218941898477,Accepted
B_MASS,-0.37056614938760624,Accepted
B_MASS,-0.3955319023619498,Accepted
B_EA,1.4742198612913695,Accepted
B_EA,1.5532138516289724,Accepted
B_EA,1.5015683291517756,Accepted
B_EA,1.5338786474825414,Accepted
B_EA,1.4633238346796644,Accepted
B_EA,1.4443883330909981,Accepted
B_EA,1.4307027413944915,Accepted
B_EA,1.4100394717390319,Accepted
B_EA,1.4621529407708198,Accepted
B_EA,1.388354910369806,Accepted
B_EA,1.4565184633367936,Accepted
B_EA,1.384936291263173,Accepted
B_EA,1.3101169121974525,Accepted
B_EA,1.4064580497088095,Accepted
B_EA,1.3701892880428996,Accepted
B_EA,1.4589761151571883,Accepted
B_EA,1.4014305177365822,Accepted
B_EA,1.442213247242084,Accepted
B_EA,1.3611217333676497,Accepted
B_EA,1.3176301718322114,Accepted
B_EA,1.2717446131119419,Accepted
B_EA,1.2641665619194673,Accepted
B_EA,1.309079822759375,Accepted
B_EA,1.434401583690587,Accepted
B_EA,1.2845786287702237,Accepted
B_EA,1.2940384236371578,Accepted
B_EA,1.384602186743633,Accepted
B_EA,1.4363581072104785,Accepted
B_EA,1.4207710696430638,Accepted
B_EA,1.3138821918070585,Accepted
B_EA,1.4007280129755977,Accepted
B_EA,1.4163521219503545,Accepted
B_EA,1.2275645590030229,Accepted
B_EA,1.238941270631042,Accepted
B_EA,1.3319543034891208,Accepted
B_EA,1.3289900177583056,Accepted
B_EA,1.3210854756665114,Accepted
B_EA,1.3139176763890221,Accepted
B_EA,1.3334712085177027,Accepted
B_EA,1.4716478141371354,Accepted
B_EA,1.3534662670250455,Accepted
B_EA,1.3628231753707511,Accepted
B_EA,1.465950550750611,Accepted
B_EA,1.3822775419142905,Accepted
B_EA,1.4618362147901103,Accepted
B_EA,1.3948518209801208,Accepted
B_EA,1.2817067806614324,Accepted
B_EA,1.3638580431338927,Accepted
B_EA,1.3107002801489767,Accepted
B_EA,1.3242739116540823,Accepted
B_EA,1.310180111328047,Accepted
B_EA,1.2930396722917488,Accepted
B_EA,1.3306085761244286,Accepted
B_EA,1.3744836021211397,Accepted
B_EA,1.4152468843049892,Accepted
B_EA,1.2876727308150753,Accepted
B_EA,1.3745824155368556,Accepted
B_EA,1.3223174018034811,Accepted
B_EA,1.334915446417321,Accepted
B_EA,1.4262122014938707,Accepted
B_EA,1.4428924721375842,Accepted
B_EA,1.4155959673102356,Accepted
B_EA,1.4218495814446084,Accepted
B_EA,1.322989684309405,Accepted
B_EA,1.5264264261547995,Accepted
B_EA,1.2805398747073988,Accepted
B_EA,1.382295005971017,Accepted
B_EA,1.316553539299793,Accepted
B_EA,1.3635113022154313,Accepted
B_EA,1.3029964927864872,Accepted
B_EA,1.2523378308359883,Accepted
B_EA,1.2804000890990406,Accepted
B_EA,1.380547671272035,Accepted
B_EA,1.3836432382011497,Accepted
B_EA,1.3422133570889292,Accepted
B_EA,1.3739268355224075,Accepted
B_EA,1.3809890928762292,Accepted
B_EA,1.3394636432093818,Accepted
B_EA,1.332325375233922,Accepted
B_EA,1.3630895803700598,Accepted
B_EA,1.4914234746750619,Accepted
B_EA,1.3471334107235193,Accepted
B_EA,1.370887424887198,Accepted
B_EA,1.4065183064000544,Accepted
B_EA,1.407410510580066,Accepted
B_EA,1.333651693093944,Accepted
B_EA,1.29076545901015,Accepted
B_EA,1.4103199800290078,Accepted
B_EA,1.400385216383262,Accepted
B_EA,1.4605385252889713,Accepted
B_EA,1.3537570274656117,Accepted
B_EA,1.4574751890140016,Accepted
B_EA,1.3586879242543892,Accepted
B_EA,1.4126259962054726,Accepted
B_EA,1.3764531900435097,Accepted
B_EA,1.3610259745768363,Accepted
B_EA,1.410253945180551,Accepted
B_EA,1.3321896517027776,Accepted
B_EA,1.3180541010583675,Accepted
B_EA,1.4056238437208302,Accepted
B_IE,1.1559059641119775,Accepted
B_IE,1.1995350546617676,Accepted
B_IE,1.0798468636666014,Accepted
B_IE,1.5285860766410664,Accepted
B_IE,1.081335727173371,Accepted
B_IE,0.9165042503198758,Accepted
B_IE,0.9790859956820842,Accepted
B_IE,0.7156256266195611,Accepted
B_IE,1.4759918247737607,Accepted
B_IE,0.9409999367802613,Accepted
B_IE,1.3557978423532293,Accepted
B_IE,0.8682868782171417,Accepted
B_IE,0.8518492016618668,Accepted
B_IE,1.3899982527410768,Accepted
B_IE,0.8837963172151593,Accepted
B_IE,0.9057214863931903,Accepted
B_IE,1.253064520741958,Accepted
B_IE,1.333667876845061,Accepted
B_IE,0.9539497770251542,Accepted
B_IE,0.881185890533747,Accepted
B_IE,0.8319506606166678,Accepted
B_IE,0.5403311207834084,Accepted
B_IE,0.8245363687305768,Accepted
B_IE,1.3540740600866912,Accepted
B_IE,0.7753405312432913,Accepted
B_IE,0.644953045906536,Accepted
B_IE,1.1464090571610859,Accepted
B_IE,1.1810752006906766,Accepted
B_IE,1.008534818233953,Accepted
B_IE,0.889856661925091,Accepted
B_IE,1.228794658822229,Accepted
B_IE,1.3234404302319243,Accepted
B_IE,0.34279678203173714,Accepted
B_IE,0.5280796607439258,Accepted
B_IE,1.0838560764163592,Accepted
B_IE,1.0379229052292334,Accepted
B_IE,0.9340047504233566,Accepted
B_IE,0.7210406734974071,Accepted
B_IE,0.8671475050087742,Accepted
B_IE,1.4853821936918474,Accepted
B_IE,1.0899085826176746,Accepted
B_IE,0.7956292628298341,Accepted
B_IE,1.1974528266669355,Accepted
B_IE,0.8154968369245906,Accepted
B_IE,1.878444380066737,Accepted
B_IE,1.1201047856284316,Accepted
B_IE,0.9031122565900568,Accepted
B_IE,1.0821365857766634,Accepted
B_IE,0.6217392698070023,Accepted
B_IE,0.9961908534588818,Accepted
B_IE,0.8520367002096167,Accepted
B_IE,0.5914231460851014,Accepted
B_IE,0.8105156461864017,Accepted
B_IE,1.3647056342665003,Accepted
B_IE,0.9324786097825462,Accepted
B_IE,0.9923345181932991,Accepted
B_IE,1.2135575763723083,Accepted
B_IE,0.60636222130717,Accepted
B_IE,0.8920516739414255,Accepted
B_IE,1.0479657010273786,Accepted
B_IE,1.1168267282363964,Accepted
B_IE,1.012518261249959,Accepted
B_IE,1.2066671698261595,Accepted
B_IE,1.0898912105090894,Accepted
B_IE,1.745203992585204,Accepted
B_IE,0.9012967993320247,Accepted
B_IE,1.0649117164694144,Accepted
B_IE,0.7169600279517143,Accepted
B_IE,0.8329162016525437,Accepted
B_IE,1.069519874793746,Accepted
B_IE,0.9606073262837068,Accepted
B_IE,0.541640498908445,Accepted
B_IE,0.991478672536755,Accepted
B_IE,1.0408864186952997,Accepted
B_IE,0.9119334195870897,Accepted
B_IE,1.0250837999477336,Accepted
B_IE,1.3642507157315547,Accepted
B_IE,0.71816659772799,Accepted
B_IE,1.0556951696941521,Accepted
B_IE,0.8753594487105186,Accepted
B_IE,1.4401358505367847,Accepted
B_IE,1.0252063258462303,Accepted
B_IE,1.2745275612471998,Accepted
B_IE,1.4057854608024836,Accepted
B_IE,1.5084064823464771,Accepted
B_IE,0.6978690829117552,Accepted
B_IE,0.4749906178935511,Accepted
B_IE,1.0170567992891657,Accepted
B_IE,1.3316661039883668,Accepted
B_IE,1.48972745133234,Accepted
B_IE,0.9941283823227398,Accepted
B_IE,1.551016212136232,Accepted
B_IE,1.46597432977292,Accepted
B_IE,1.1734006112023425,Accepted
B_IE,1.1046236555075564,Accepted
B_IE,1.0738727778613744,Accepted
B_IE,1.1737034977689993,Accepted
B_IE,0.8423016943791668,Accepted
B_IE,0.8827716019477975,Accepted
B_IE,1.1354229824966524,Accepted
B_En,4.845287769321529,Accepted
B_En,4.809368178375271,Accepted
B_En,4.862783417178155,Accepted
B_En,4.700381796818808,Accepted
B_En,4.870648781579275,Accepted
B_En,4.924382783902013,Accepted
B_En,4.910469911297414,Accepted
B_En,4.989169105261964,Accepted
B_En,4.751491421298865,Accepted
B_En,4.724468489850196,Accepted
B_En,4.580567309704359,Accepted
B_En,4.753737456632844,Accepted
B_En,4.568657311931407,Accepted
B_En,4.358646098673731,Accepted
B_En,4.536835257986701,Accepted
B_En,4.501724309100737,Accepted
B_En,4.406251836141503,Accepted
B_En,4.3752572237886795,Accepted
B_En,4.517079491754977,Accepted
B_En,4.5448044097440645,Accepted
B_En,4.583134643359451,Accepted
B_En,4.643007388720715,Accepted
B_En,4.574545153446884,Accepted
B_En,4.360334885435611,Accepted
B_En,4.602605180873782,Accepted
B_En,4.618896297431567,Accepted
B_En,4.4488957292367575,Accepted
B_En,4.421789013269561,Accepted
B_En,4.4822422053949795,Accepted
