UMAP1,UMAP2,Predicted Binding Energy
2.81667,9.450307,23.22
3.007183,9.504928,17.86
1.0722384,9.72421,50.98
1.3321872,9.77511,41.73
1.7898792,9.728054,33.6
2.547237,9.60499,27.02
3.129333,9.604824,21.33
3.4240007,9.706439,17.07
1.5070709,9.918661,48.08
1.6168642,9.894178,38.95
2.1845245,9.926759,31.18
2.8413634,9.85636,24.98
3.4729626,9.779244,20.0
3.6802998,9.855116,17.12
1.672344,9.959117,45.29
1.828202,9.966254,36.32
2.3103416,9.957947,28.78
3.0348125,9.876182,23.49
3.651153,9.8236,19.37
3.759544,9.930584,17.6
0.52802867,9.490736,56.42
0.7315581,9.560956,47.17
1.1061697,9.544889,38.27
2.1210938,9.482488,30.89
2.6886432,9.4238205,23.93
2.8821456,9.515655,18.21
0.7165852,9.639945,53.52
0.88094306,9.697696,44.26
1.2775942,9.69422,35.58
2.3237014,9.608107,28.2
2.8361528,9.551944,21.89
2.962539,9.532814,16.74
0.98805755,9.804271,50.61
1.1333553,9.839584,41.36
1.6409421,9.809631,32.89
2.566406,9.749335,25.77
3.0421937,9.693609,19.89
3.2074096,9.699198,15.56
1.3501719,9.892023,47.71
1.5302691,10.002951,38.46
2.068152,10.012021,30.45
2.977326,9.963169,23.66
3.477709,9.996468,18.31
3.746965,9.943704,15.36
1.7737377,10.106558,44.81
1.9378014,10.099642,35.78
2.3705537,10.088839,28.02
3.2459242,10.128568,21.7
3.9052806,10.094957,17.53
4.0318637,10.095464,15.61
1.9799851,10.187748,42.11
2.0977914,10.245605,33.14
2.56744,10.202602,25.6
3.2956474,10.14787,20.49
3.9468505,10.025896,17.59
4.078602,10.164056,16.09
0.8012837,9.805867,53.15
0.9813276,9.816057,43.89
1.3620273,9.765034,35.01
2.5482774,9.707223,27.63
2.9516232,9.693406,20.6
3.2026575,9.699343,15.89
0.9719396,9.924036,50.24
1.1410728,9.941695,40.99
1.6156265,9.924412,32.32
2.653453,9.835237,25.04
3.06267,9.721403,18.87
3.264907,9.749266,14.58
1.3044945,10.093858,47.34
1.4824135,10.042712,38.09
2.0180125,10.084104,29.71
2.917672,9.986144,22.62
3.514239,9.900987,17.42
3.601324,9.87729,13.69
1.7840029,10.271802,44.44
1.9589614,10.268089,35.24
2.48945,10.316458,27.29
3.3473876,10.261662,20.39
3.8426511,10.137948,16.07
3.9816225,10.088368,13.89
2.1657088,10.421084,41.57
2.349859,10.423532,32.6
2.7568312,10.395578,24.87
3.631942,10.393028,18.95
4.118103,10.206116,15.9
4.293297,10.280818,14.1
2.38028,10.487728,38.94
2.483802,10.5770445,29.97
2.9423223,10.486296,22.46
3.744707,10.480579,18.2
4.3371105,10.322035,16.11
4.403013,10.350015,14.58
1.072793,10.10606,49.87
1.3165447,10.198406,40.62
1.8259164,10.135581,31.76
2.922119,10.048195,24.38
3.3405416,10.006245,18.14
3.4831645,9.922419,13.69
1.2680801,10.199441,46.97
1.4285766,10.23291,37.71
1.924044,10.214322,29.07
2.978452,10.139559,22.12
3.528176,10.0862255,16.56
3.6391816,10.021927,12.7
1.6518435,10.3505945,44.07
1.8135793,10.390813,34.81
2.1323848,10.17572,26.55
3.1916196,10.201683,20.1
