Halide1,Halide2,Halide3,Cl,Br,I,Cation,Formula,SOLVENT,Target,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,CATION_HATOMS,SOLV_DENSITY,SOLV_DIELECTRIC,SOLV_GDN,SOLV_DPM,SOLV_MV,SOLV_UMBO,DMSO,THTO,DMF,NMP,ACETONE,METHA,GBL,NITRO
I,Br,Cl,0.333333333,0.333333333,0.333333333,MA,IBrClMA,ACETONE,14.65,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.916666667,80.75,3.347333333,11.74433333,2.926666667,35,1.74E-01,-9.13E-02,7.96E-01,-7.48E-02,-7.22E-01,-9.64E-01,1.26E-02,4.97E-03,7.67E-01,5.69E-01,-7.26E-01,3,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,FA,BrBrClFA,GBL,14.56,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,1.25E-01,-5.88E-01,-9.93E-01,-6.46E-02,-6.67E-01,-9.81E-01,6.76E-02,6.73E-01,-9.18E-01,-6.02E-01,-7.94E-01,2,1.05,40.24,18.3,4.24,76.5,-0.1,0,0,0,0,0,0,1,0
I,I,Cl,0.333333333,0,0.666666667,MA,IIClMA,ACETONE,14.45,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.21E-01,4.24E-01,8.00E-01,-8.45E-02,-7.24E-01,-9.63E-01,9.24E-03,-1.05E-03,9.28E-01,2.71E-01,-7.28E-01,3,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
I,I,Cl,0.333333333,0,0.666666667,FA,IIClFA,ACETONE,14.45,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,2.19E-01,3.92E-01,-9.92E-01,-8.41E-02,-6.72E-01,-9.79E-01,6.08E-02,6.66E-01,-3.01E-01,-8.92E-01,-7.97E-01,2,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
I,Br,Br,0,0.666666667,0.333333333,Cs,IBrBrCs,ACETONE,14.37,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,3.24E-01,-5.69E-01,-7.73E-01,-4.51E-02,-7.27E-01,9.90E-01,-8.94E-03,8.44E-01,8.83E-01,2.60E-01,-7.78E-01,0,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,FA,BrClClFA,METHA,14.2,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.34E-02,-1.11E-01,-9.93E-01,-5.13E-02,-6.77E-01,-9.80E-01,6.36E-02,6.73E-01,-9.54E-01,-2.10E-01,-8.96E-01,2,0.85,10.9,1,2.8,82.5,-0.08,0,0,0,0,0,1,0,0
I,Br,Br,0,0.666666667,0.333333333,MA,IBrBrMA,ACETONE,14.17,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.966666667,95.56666667,3.263333333,11.35966667,2.86,41,2.25E-01,-5.75E-01,7.93E-01,-8.80E-02,-7.13E-01,-9.65E-01,1.66E-02,4.84E-03,8.66E-01,1.61E-01,-4.99E-01,3,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
Cl,Cl,Cl,1,0,0,Cs,ClClClCs,METHA,14.16,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,1.29E-01,4.62E-01,-7.68E-01,4.60E-03,-7.50E-01,9.90E-01,-1.74E-02,8.46E-01,-1.49E-01,9.70E-01,-9.73E-01,0,0.85,10.9,1,2.8,82.5,-0.08,0,0,0,0,0,1,0,0
Br,Br,Br,0,1,0,MA,BrBrBrMA,METHA,14.01,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35,1.79E-01,-8.33E-01,7.88E-01,-7.83E-02,-7.10E-01,-9.67E-01,2.00E-02,1.09E-02,5.94E-01,4.85E-01,-4.96E-01,3,0.85,10.9,1,2.8,82.5,-0.08,0,0,0,0,0,1,0,0
I,Cl,Cl,0.666666667,0,0.333333333,FA,IClClFA,ACETONE,13.97,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.21E-01,4.08E-01,-9.92E-01,-6.11E-02,-6.80E-01,-9.79E-01,6.03E-02,6.70E-01,-8.47E-01,-5.23E-01,-8.97E-01,2,0.78,20.7,17.5,2.69,73.7,-0.11,0,0,0,0,1,0,0,0
